Model Year_x,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,weight_x,實際碳排,實際挑選,預測碳排,預測挑選
2022,Chrysler,300,Full-size,5.7,8,A8,4013,289,0,303.06174,0
2022,Chrysler,300,Full-size,3.6,6,A8,4013,242,0,275.24832,0
2022,Ram,1500,Pickup truck: Standard,5.7,8,A8,5345,320,0,361.7884,1
2022,Ram,1500 4X4,Pickup truck: Standard,5.7,8,A8,5345,325,0,361.7884,1
2022,Ram,1500 4X4 EcoDiesel,Pickup truck: Standard,3,6,A8,5476,260,0,293.58893,0
2022,Ram,1500 4X4 eTorque,Pickup truck: Standard,5.7,8,A8,5497,284,0,363.85226,1
2022,Ram,1500 4X4 eTorque,Pickup truck: Standard,3.6,6,A8,5353,260,0,302.5366,0
2022,Ram,1500 4X4 TRX,Pickup truck: Standard,6.2,8,A8,8100,465,1,327.10614,1
2022,Ram,1500 Classic,Pickup truck: Standard,5.7,8,A8,5194,323,0,365.89474,1
2022,Ram,1500 Classic,Pickup truck: Standard,3.6,6,A8,4517,280,0,294.17935,0
2022,Ram,1500 Classic 4X4,Pickup truck: Standard,5.7,8,A8,5371,330,0,371.09604,1
2022,Ram,1500 Classic 4X4,Pickup truck: Standard,3.6,6,A8,5098,295,0,295.41656,0
2022,Ram,1500 EcoDiesel,Pickup truck: Standard,3,6,A8,6990,243,0,283.2377,0
2022,Ram,1500 eTorque,Pickup truck: Standard,5.7,8,A8,5353,275,0,361.7884,1
2022,Ram,1500 eTorque,Pickup truck: Standard,3.6,6,A8,6100,253,0,294.5401,0
2022,Ram,1500 HFE EcoDiesel,Pickup truck: Standard,3,6,A8,4785,238,0,289.94916,0
2022,Ram,1500 HFE eTorque,Pickup truck: Standard,3.6,6,A8,4785,245,0,300.22232,0
2022,Chrysler,300 AWD,Full-size,3.6,6,A8,4013,258,0,275.24832,0
2022,BMW,330i xDrive Sedan,Compact,2,4,AS8,3764,195,0,220.53099,0
2022,BMW,430i xDrive Cabriolet,Subcompact,2,4,AS8,3708,202,0,228.40372,0
2022,BMW,430i xDrive Coupe,Subcompact,2,4,AS8,3708,202,0,228.40372,0
2022,Toyota,4Runner 4WD,SUV: Standard,4,6,AS5,4750,323,0,325.06375,0
2022,Toyota,4Runner 4WD (Part-Time 4WD) ,SUV: Standard,4,6,AS5,4675,321,0,321.4532,0
2022,FIAT,500X AWD,SUV: Small,1.3,4,A9,3305,221,0,219.34416,0
2022,BMW,530i xDrive Sedan,Mid-size,2,4,AS8,3878,206,0,233.85625,0
2022,BMW,540i xDrive Sedan,Full-size,3,6,AS8,4050,219,0,302.4174,1
2022,Porsche,718 Boxster,Two-seater,2,4,M6,3122,245,0,208.36638,0
2022,Porsche,718 Boxster,Two-seater,2,4,AM7,3122,233,0,208.36638,0
2022,Porsche,718 Boxster GTS 4.0,Two-seater,4,6,M6,3156,284,0,323.33487,0
2022,Porsche,718 Boxster GTS 4.0,Two-seater,4,6,AM7,3156,260,0,323.33487,0
2022,Porsche,718 Boxster S,Two-seater,2.5,4,M6,3071,263,0,251.33095,0
2022,Porsche,718 Boxster S,Two-seater,2.5,4,AM7,3071,255,0,251.33095,0
2022,Porsche,718 Boxster T,Two-seater,2,4,M6,3058,245,0,189.72502,0
2022,Porsche,718 Boxster T,Two-seater,2,4,AM7,3058,236,0,189.72502,0
2022,Porsche,718 Cayman,Two-seater,2,4,M6,2943,245,0,190.97096,0
2022,Porsche,718 Cayman,Two-seater,2,4,AM7,2943,233,0,190.97096,0
2022,Porsche,718 Cayman GT4,Two-seater,4,6,M6,3208,286,0,322.68582,0
2022,Porsche,718 Cayman GT4,Two-seater,4,6,AM7,3208,271,0,322.68582,0
2022,Porsche,718 Cayman GTS 4.0,Two-seater,4,6,M6,3166,284,0,323.33487,0
2022,Porsche,718 Cayman GTS 4.0,Two-seater,4,6,AM7,3166,260,0,323.33487,0
2022,Porsche,718 Cayman S,Two-seater,2.5,4,M6,3086,263,0,201.35156,0
2022,Porsche,718 Cayman S,Two-seater,2.5,4,AM7,3086,255,0,201.35156,0
2022,Porsche,718 Cayman T,Two-seater,2,4,M6,3064,245,0,196.20721,0
2022,Porsche,718 Cayman T,Two-seater,2,4,AM7,3064,236,0,196.20721,0
2022,Porsche,718 Spyder,Two-seater,4,6,M6,3205,286,0,305.61893,0
2022,Porsche,718 Spyder,Two-seater,4,6,AM7,3205,271,0,305.61893,0
2022,BMW,750i xDrive Sedan,Full-size,4.4,8,AS8,4722,279,0,329.42166,0
2022,BMW,750Li xDrive Sedan,Full-size,4.4,8,AS8,4722,279,0,329.42166,0
2022,Porsche,911 Carrera,Minicompact,3,6,AM8,3508,275,0,286.55215,0
2022,Porsche,911 Carrera 4,Minicompact,3,6,AM8,3614,275,0,289.44394,0
2022,Porsche,911 Carrera 4 Cabriolet,Minicompact,3,6,AM8,3614,275,0,289.44394,0
2022,Porsche,911 Carrera 4 GTS,Minicompact,3,6,M7,3691,289,0,279.93802,0
2022,Porsche,911 Carrera 4 GTS,Minicompact,3,6,AM8,3691,288,0,279.93802,0
2022,Porsche,911 Carrera 4 GTS Cabriolet,Minicompact,3,6,M7,3691,296,0,279.93802,0
2022,Porsche,911 Carrera 4 GTS Cabriolet,Minicompact,3,6,AM8,3691,288,0,279.93802,0
2022,Porsche,911 Carrera 4S,Minicompact,3,6,AM8,3641,275,0,280.63504,0
2022,Porsche,911 Carrera 4S,Minicompact,3,6,M7,3641,275,0,280.63504,0
2022,Porsche,911 Carrera 4S Cabriolet,Minicompact,3,6,M7,3641,281,0,280.63504,0
2022,Porsche,911 Carrera 4S Cabriolet,Minicompact,3,6,AM8,3641,273,0,280.63504,0
2022,Porsche,911 Carrera Cabriolet,Minicompact,3,6,AM8,3508,275,0,286.55215,0
2022,Porsche,911 Carrera GTS,Minicompact,3,6,AM8,3587,289,0,289.90427,0
2022,Porsche,911 Carrera GTS,Minicompact,3,6,M7,3587,276,0,289.90427,0
2022,Porsche,911 Carrera GTS Cabriolet,Minicompact,3,6,AM8,3587,289,0,289.90427,0
2022,Porsche,911 Carrera GTS Cabriolet,Minicompact,3,6,M7,3587,278,0,289.90427,0
2022,Porsche,911 Carrera S,Minicompact,3,6,AM8,3537,274,0,289.73557,0
2022,Porsche,911 Carrera S,Minicompact,3,6,M7,3537,264,0,289.73557,0
2022,Porsche,911 Carrera S Cabriolet,Minicompact,3,6,M7,3537,275,0,289.73557,0
2022,Porsche,911 Carrera S Cabriolet,Minicompact,3,6,AM8,3537,273,0,289.73557,0
2022,Porsche,911 GT3,Minicompact,4,6,M6,3164,355,0,323.33487,0
2022,Porsche,911 GT3,Minicompact,4,6,AM7,3164,334,0,323.33487,0
2022,Porsche,911 GT3 Touring,Minicompact,4,6,M6,3126,354,0,310.98993,0
2022,Porsche,911 GT3 Touring,Minicompact,4,6,AM7,3126,335,0,310.98993,0
2022,Porsche,911 Targa 4,Minicompact,3,6,AM8,3658,275,0,282.77304,0
2022,Porsche,911 Targa 4 GTS,Minicompact,3,6,M7,3737,296,0,277.06516,0
2022,Porsche,911 Targa 4 GTS,Minicompact,3,6,AM8,3737,287,0,277.06516,0
2022,Porsche,911 Targa 4S,Minicompact,3,6,M7,3687,278,0,277.1409,0
2022,Porsche,911 Targa 4S,Minicompact,3,6,AM8,3687,274,0,277.1409,0
2022,Porsche,911 Turbo,Minicompact,3.7,6,AM8,3790,321,0,315.52698,0
2022,Porsche,911 Turbo Cabriolet,Minicompact,3.7,6,AM8,3790,324,0,315.52698,0
2022,Porsche,911 Turbo S,Minicompact,3.7,6,AM8,3790,321,0,315.52698,0
2022,Porsche,911 Turbo S Cabriolet,Minicompact,3.7,6,AM8,3790,328,0,315.52698,0
2022,Mercedes-Benz,A 220 4MATIC Sedan,Subcompact,2,4,AM7,3395,194,0,208.27379,0
2022,Mercedes-Benz,A 250 4MATIC Hatch,Station wagon: Small,2,4,AM7,3325,202,0,170.11118,0
2022,Audi,A3 Sedan 40 TFSI quattro,Subcompact,2,4,AM7,3494,178,0,229.32697,0
2022,Audi,A4 allroad 45 TFSI quattro,Station wagon: Small,2,4,AM7,3880,208,0,233.85625,0
2022,Audi,A4 Sedan 40 TFSI quattro,Compact,2,4,AM7,3682,190,0,223.27687,0
2022,Audi,A4 Sedan 45 TFSI quattro,Compact,2,4,AM7,3682,205,0,223.27687,0
2022,Audi,A5 Cabriolet 45 TFSI quattro,Subcompact,2,4,AM7,4045,214,0,226.97942,0
2022,Audi,A5 Coupe 45 TFSI quattro,Subcompact,2,4,AM7,3759,205,0,217.14705,0
2022,Audi,A5 Sportback 45 TFSI quattro,Mid-size,2,4,AM7,3781,205,0,226.03584,0
2022,Audi,A6 allroad 55 TFSI quattro,Station wagon: Mid-size,3,6,AM7,4266,234,0,280.69525,0
2022,Audi,A6 Sedan 45 TFSI quattro,Mid-size,2,4,AM7,4101,208,0,234.6454,0
2022,Audi,A6 Sedan 55 TFSI quattro,Mid-size,3,6,AM7,4266,224,0,280.69525,0
2022,Audi,A7 Sportback 55 TFSI quattro,Mid-size,3,6,AM7,4332,224,0,267.93796,0
2022,Audi,A8 L Sedan 55 TFSI quattro,Full-size,3,6,AS8,4773,248,0,285.4804,0
2022,GMC,Acadia,SUV: Standard,3.6,6,A9,4155,252,0,290.55307,0
2022,GMC,Acadia,SUV: Standard,2,4,A9,4155,221,0,228.12668,0
2022,GMC,Acadia AWD,SUV: Standard,3.6,6,A9,4155,259,0,290.55307,0
2022,GMC,Acadia AWD,SUV: Standard,2,4,A9,4155,232,0,228.12668,0
2022,Honda,Accord,Full-size,1.5,4,AV,3150,168,0,180.52303,0
2022,Honda,Accord Hybrid,Full-size,2,4,AV,3326,117,0,170.11118,0
2022,Honda,Accord Hybrid Sport/Touring,Full-size,2,4,AV,3424,129,0,212.89659,0
