Model Year,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,weight,con,CO2 Emissions(g/km),SP,PK,SEAT,Lux,L,M,S,Cluster,Predicted_CO2,select
2022,Lamborghini,Huracan evo Coupe,Two-seater,5.2,10,AM7,3419.0,LamborghiniHuracan evo CoupeTwo-seater5.210AM7,371,0,0,0,1,0,0,0,4,345.41394,0
2022,Bugatti,Chiron Super Sport,Two-seater,8.0,16,AM7,4587.0,BugattiChiron Super SportTwo-seater816AM7,608,0,0,0,1,0,0,0,1,500.31555,0
2022,Bugatti,Chiron Pur Sport,Two-seater,8.0,16,AM7,4587.0,BugattiChiron Pur SportTwo-seater816AM7,608,0,0,0,1,0,0,0,1,500.31555,0
2022,Bugatti,Chiron,Two-seater,8.0,16,AM7,4587.0,BugattiChironTwo-seater816AM7,522,0,0,0,1,0,0,0,1,500.31555,0
2022,Lamborghini,Aventador Countach,Two-seater,6.5,12,AM7,3516.0,LamborghiniAventador CountachTwo-seater6.512AM7,489,0,0,0,1,0,0,0,1,435.07547,0
2022,Rolls-Royce,Phantom EWB,Full-size,6.7,12,AS8,6061.0,Rolls-RoycePhantom EWBFull-size6.712AS8,382,0,0,0,1,0,0,0,1,369.11343,0
2022,Lamborghini,Aventador Coupe,Two-seater,6.5,12,AM7,3615.0,LamborghiniAventador CoupeTwo-seater6.512AM7,498,0,0,0,1,0,0,0,1,454.7025,0
2022,Rolls-Royce,Phantom,Full-size,6.7,12,AS8,5754.0,Rolls-RoycePhantomFull-size6.712AS8,382,0,0,0,1,0,0,0,1,363.0018,0
2022,Lamborghini,Huracan evo Coupe AWD,Two-seater,5.2,10,AM7,3419.0,LamborghiniHuracan evo Coupe AWDTwo-seater5.210AM7,370,0,0,0,1,0,0,0,4,345.41394,0
2022,Lamborghini,Aventador Roadster,Two-seater,6.5,12,AM7,3852.5,LamborghiniAventador RoadsterTwo-seater6.512AM7,498,0,0,0,1,0,0,0,1,415.93076,0
2022,Rolls-Royce,Cullinan Black Badge,Station wagon: Mid-size,6.7,12,AS8,6171.0,Rolls-RoyceCullinan Black BadgeStation wagon: Mid-size6.712AS8,386,0,0,0,1,0,0,0,1,374.62286,0
2022,Rolls-Royce,Ghost EWB,Full-size,6.7,12,AS8,5445.0,Rolls-RoyceGhost EWBFull-size6.712AS8,387,0,0,0,1,0,0,0,1,361.49554,0
2022,Rolls-Royce,Cullinan,Station wagon: Mid-size,6.7,12,AS8,6069.0,Rolls-RoyceCullinanStation wagon: Mid-size6.712AS8,386,0,0,0,1,0,0,0,1,369.11343,0
2022,Rolls-Royce,Ghost,Full-size,6.7,12,AS8,5445.0,Rolls-RoyceGhostFull-size6.712AS8,387,0,0,0,1,0,0,0,1,361.49554,0
2022,Rolls-Royce,Ghost Black Badge,Full-size,6.7,12,AS8,5445.0,Rolls-RoyceGhost Black BadgeFull-size6.712AS8,387,0,0,0,1,0,0,0,1,361.49554,0
2022,Aston Martin,DBS V12,Minicompact,5.2,12,A8,4068.0,Aston MartinDBS V12Minicompact5.212A8,324,0,0,0,1,0,0,0,1,321.97656,0
2022,Bentley,Continental GT Speed,Subcompact,6.0,12,AM8,5322.0,BentleyContinental GT SpeedSubcompact612AM8,379,0,0,0,1,0,0,0,1,366.9464,0
2022,Bentley,Continental GT Convertible Speed,Minicompact,6.0,12,AM8,5322.0,BentleyContinental GT Convertible SpeedMinicompact612AM8,395,0,0,0,1,0,0,0,1,366.9464,0
2022,Lamborghini,Huracan evo Spyder AWD,Two-seater,5.2,10,AM7,3351.0,LamborghiniHuracan evo Spyder AWDTwo-seater5.210AM7,370,0,0,0,1,0,0,0,4,352.03766,0
2022,Bentley,Bentayga Speed,SUV: Standard,6.0,12,AS8,5264.0,BentleyBentayga SpeedSUV: Standard612AS8,383,0,0,0,1,0,0,0,1,363.70468,0
2022,Lamborghini,Huracan evo Spyder,Two-seater,5.2,10,AM7,3611.0,LamborghiniHuracan evo SpyderTwo-seater5.210AM7,371,0,0,0,1,0,0,0,4,338.393,0
2022,Lamborghini,Urus,SUV: Standard,4.0,8,AS8,4850.0,LamborghiniUrusSUV: Standard48AS8,384,0,0,0,1,0,0,0,2,352.7124,0
2022,Porsche,911 Turbo S Cabriolet,Minicompact,3.7,6,AM8,3790.0,Porsche911 Turbo S CabrioletMinicompact3.76AM8,328,0,0,0,1,0,0,0,3,315.52698,0
2022,Maserati,MC20,Two-seater,3.0,6,AS8,3307.0,MaseratiMC20Two-seater36AS8,295,0,0,0,1,0,0,0,3,246.54138,0
2022,Land Rover,Range Rover SVAutobiography,SUV: Standard,5.0,8,AS8,6000.0,Land RoverRange Rover SVAutobiographySUV: Standard58AS8,354,0,0,0,1,0,0,0,4,324.76996,0
2022,Porsche,911 Turbo S,Minicompact,3.7,6,AM8,3790.0,Porsche911 Turbo SMinicompact3.76AM8,321,0,0,0,1,0,0,0,3,315.52698,0
2022,Bentley,Continental GT,Subcompact,4.0,8,AM8,4773.0,BentleyContinental GTSubcompact48AM8,287,0,0,0,1,0,0,0,2,324.1952,0
2022,Bentley,Continental GT Convertible,Minicompact,4.0,8,AM8,4294.0,BentleyContinental GT ConvertibleMinicompact48AM8,294,0,0,0,1,0,0,0,2,306.96823,0
