Model Year,Make,Model,Car_or_Truck,Vehicle Class,Engine Size(L),Engine Size Rank,Cylinders,Transmission,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),Fuel Consumption(Comb (mpg)),CO2 Emissions(g/km),CO2 Rating,Smog Rating,CarNumber,,
2022,Bugatti,Chiron,Cars,Two-seater,8,7.2,16,AM7,4,26.8,16.6,22.2,13,522,1,1,1133,583.86,2.351351351
2022,Bugatti,Chiron Pur Sport,Cars,Two-seater,8,7.2,16,AM7,4,30.3,20.9,26.1,11,608,1,1,1134,686.43,2.329501916
2022,Bugatti,Chiron Super Sport,Cars,Two-seater,8,7.2,16,AM7,4,30.3,20.9,26.1,11,608,1,1,1135,686.43,2.329501916
2022,Rolls-Royce,Cullinan,Cars,Station wagon: Mid-size,6.7,6.6,12,AS8,4,20.1,12.1,16.5,17,386,2,3,1840,433.95,2.339393939
2022,Rolls-Royce,Cullinan Black Badge,Cars,Station wagon: Mid-size,6.7,6.6,12,AS8,4,20.1,12.1,16.5,17,386,2,3,1841,433.95,2.339393939
2022,Rolls-Royce,Ghost,Cars,Full-size,6.7,6.6,12,AS8,4,19.9,12.7,16.7,17,387,2,3,1842,439.21,2.317365269
2022,Rolls-Royce,Ghost Black Badge,Cars,Full-size,6.7,6.6,12,AS8,4,19.9,12.7,16.7,17,387,2,3,1843,439.21,2.317365269
2022,Rolls-Royce,Ghost EWB,Cars,Full-size,6.7,6.6,12,AS8,4,19.9,12.7,16.7,17,387,2,3,1844,439.21,2.317365269
2022,Rolls-Royce,Phantom,Cars,Full-size,6.7,6.6,12,AS8,4,20,11.8,16.3,17,382,2,3,1845,428.69,2.343558282
2022,Rolls-Royce,Phantom EWB,Cars,Full-size,6.7,6.6,12,AS8,4,20,11.8,16.3,17,382,2,3,1846,428.69,2.343558282
2022,BMW,M760i xDrive Sedan,Cars,Full-size,6.6,6,12,AS8,4,17.8,11.9,15.1,19,354,3,3,1100,397.13,2.344370861
2022,Lamborghini,Aventador Countach,Cars,Two-seater,6.5,6,12,AM7,4,26.5,14.6,21.2,13,489,1,1,1557,557.56,2.306603774
2022,Lamborghini,Aventador Coupe,Cars,Two-seater,6.5,6,12,AM7,4,26.8,15.1,21.5,13,498,1,1,1558,565.45,2.31627907
2022,Lamborghini,Aventador Roadster,Cars,Two-seater,6.5,6,12,AM7,4,26.8,15.1,21.5,13,498,1,1,1559,565.45,2.31627907
2022,Bentley,Bentayga Speed,Cars,SUV: Standard,6,5.4,12,AS8,4,19,13,16.3,17,383,2,3,1066,428.69,2.349693252
2022,Bentley,Continental GT Speed,Cars,Subcompact,6,5.4,12,AM8,4,19.6,12,16.2,17,379,2,3,1068,426.06,2.339506173
2022,Bentley,Continental GT Convertible Speed,Cars,Minicompact,6,5.4,12,AM8,4,20.3,12.9,17,17,395,2,3,1070,447.1,2.323529412
2022,Bentley,Flying Spur,Cars,Mid-size,6,5.4,12,AM8,4,19.2,12.2,16,18,373,2,3,1072,420.8,2.33125
2022,Aston Martin,DB11 V12,Cars,Minicompact,5.2,4.8,12,A8,4,16.4,10.7,13.8,20,324,3,3,1016,362.94,2.347826087
2022,Aston Martin,DBS V12,Cars,Minicompact,5.2,4.8,12,A8,4,16.4,10.7,13.8,20,324,3,3,1017,362.94,2.347826087
2022,Audi,R8 Coupe Performance,Cars,Two-seater,5.2,4.8,10,AM7,4,16.7,10.3,13.8,20,322,3,1,1040,362.94,2.333333333
2022,Audi,R8 Coupe Performance quattro,Cars,Two-seater,5.2,4.8,10,AM7,4,17.9,12.1,15.3,18,356,3,1,1041,402.39,2.326797386
2022,Audi,R8 Spyder Performance,Cars,Two-seater,5.2,4.8,10,AM7,4,16.7,10.3,13.8,20,322,3,1,1042,362.94,2.333333333
2022,Audi,R8 Spyder Performance quattro,Cars,Two-seater,5.2,4.8,10,AM7,4,17.9,12.1,15.3,18,356,3,1,1043,402.39,2.326797386
2022,Lamborghini,Huracan evo Coupe,Cars,Two-seater,5.2,4.8,10,AM7,4,18,12.9,15.7,18,371,2,1,1560,412.91,2.363057325
2022,Lamborghini,Huracan evo Coupe AWD,Cars,Two-seater,5.2,4.8,10,AM7,4,18,12.9,15.7,18,370,2,1,1561,412.91,2.356687898
